,addr_state,annual_inc,application_type,dti,dti_joint,emp_length,emp_title,funded_amnt,home_ownership,issue_d,loan_status,member_id,open_acc,pub_rec,purpose,term,zip_code,open_il_12m,total_bal_il,id
161,NM,40000.0,Individual,29.07,,10+ years,Teacher,11200.0,RENT,Dec-2014,Current,,9.0,1.0,debt_consolidation, 60 months,880xx,,,12389132
162,NY,262000.0,Individual,9.26,,10+ years,"eVP, Senior Director",30000.0,MORTGAGE,Dec-2014,Current,,5.0,0.0,credit_card, 60 months,100xx,,,37701788
163,TX,80000.0,Individual,14.39,,8 years,QA Manager,15000.0,MORTGAGE,Dec-2014,Current,,10.0,0.0,debt_consolidation, 36 months,785xx,,,36039306
164,TN,48500.0,Individual,14.4,,2 years,Process Engineer,5000.0,OWN,Dec-2014,Current,,10.0,0.0,medical, 36 months,372xx,,,37781682
165,TX,254000.0,Individual,11.89,,5 years,"Director, Finance",20000.0,MORTGAGE,Dec-2014,Current,,10.0,0.0,home_improvement, 60 months,750xx,,,37651768
166,WA,27800.0,Individual,24.22,,< 1 year,parks dept.,13825.0,RENT,Dec-2014,Current,,6.0,0.0,debt_consolidation, 60 months,981xx,,,37108024
167,TX,70000.0,Individual,15.05,,10+ years,sales,2000.0,MORTGAGE,Dec-2014,Fully Paid,,10.0,0.0,medical, 36 months,751xx,,,37831854
168,CA,120000.0,Individual,19.94,,10+ years,Captain/Paramedic,24000.0,MORTGAGE,Dec-2014,Fully Paid,,9.0,0.0,credit_card, 36 months,957xx,,,37641820
169,TX,44000.0,Individual,5.07,,< 1 year,Teacher,19350.0,MORTGAGE,Dec-2014,Fully Paid,,8.0,0.0,debt_consolidation, 60 months,785xx,,,37641816
170,TX,18868.8,Individual,26.66,,,,5000.0,RENT,Dec-2014,Fully Paid,,9.0,0.0,debt_consolidation, 36 months,781xx,,,37761758
171,FL,46300.0,Individual,5.81,,3 years,Branch Manager,17000.0,RENT,Dec-2014,Fully Paid,,4.0,0.0,major_purchase, 36 months,328xx,,,37651728
172,CT,205000.0,Individual,11.51,,10+ years,Executive IT Leader,21000.0,OWN,Dec-2014,Current,,14.0,0.0,credit_card, 60 months,064xx,,,37791793
173,PA,45000.0,Individual,34.01,,10+ years,Maintenance,10000.0,MORTGAGE,Dec-2014,Fully Paid,,16.0,0.0,credit_card, 60 months,166xx,,,37821828
174,CA,150000.0,Individual,6.52,,< 1 year,Senior UI Engineer,35000.0,MORTGAGE,Dec-2014,Fully Paid,,7.0,0.0,debt_consolidation, 60 months,945xx,,,37781827
175,IL,75000.0,Individual,9.68,,7 years,RN,12000.0,MORTGAGE,Dec-2014,Fully Paid,,22.0,0.0,debt_consolidation, 36 months,604xx,,,37641861
176,AL,72000.0,Individual,16.33,,10+ years,Admin Assistant,35000.0,MORTGAGE,Dec-2014,Fully Paid,,12.0,0.0,home_improvement, 36 months,350xx,,,37771373
177,OR,68000.0,Individual,12.97,,3 years,Construction Scheduler,12000.0,RENT,Dec-2014,Fully Paid,,6.0,0.0,debt_consolidation, 36 months,971xx,,,37854157
178,SC,50000.0,Individual,9.84,,7 years,IT Manager,5000.0,MORTGAGE,Dec-2014,Fully Paid,,11.0,0.0,debt_consolidation, 36 months,290xx,,,37831894
179,NY,58792.0,Individual,16.33,,10+ years,Teacher,14000.0,MORTGAGE,Dec-2014,Fully Paid,,8.0,0.0,credit_card, 36 months,145xx,,,37661785
180,VA,60000.0,Individual,35.86,,10+ years,Office Manager,11325.0,MORTGAGE,Dec-2014,Fully Paid,,22.0,0.0,debt_consolidation, 60 months,231xx,,,37720167
181,PA,62000.0,Individual,22.18,,10+ years,civ. supervisor,19500.0,OWN,Dec-2014,Charged Off,,11.0,0.0,debt_consolidation, 36 months,191xx,,,37681303
182,CT,46000.0,Individual,31.85,,10+ years,Pricing & Bid coordinator,16475.0,RENT,Dec-2014,Charged Off,,32.0,0.0,debt_consolidation, 60 months,060xx,,,37761813
183,GA,86500.0,Individual,33.57,,< 1 year,Sales,28000.0,MORTGAGE,Dec-2014,Current,,13.0,0.0,debt_consolidation, 60 months,302xx,,,37317684
184,PA,37000.0,Individual,20.76,,10+ years,Hat Merchandiser,18500.0,MORTGAGE,Dec-2014,Current,,7.0,0.0,credit_card, 60 months,193xx,,,37801803
185,AZ,60000.0,Individual,13.12,,1 year,biomedical engineering technologist,19150.0,MORTGAGE,Dec-2014,Fully Paid,,26.0,0.0,other, 36 months,850xx,,,37611935
186,OH,70000.0,Individual,15.31,,10+ years,Registered Nurse,21000.0,OWN,Dec-2014,Current,,19.0,0.0,debt_consolidation, 60 months,447xx,,,35938486
187,CA,125000.0,Individual,15.99,,3 years,VP of IT,33950.0,RENT,Dec-2014,Charged Off,,4.0,0.0,small_business, 36 months,902xx,,,37611926
188,CA,120000.0,Individual,6.73,,2 years,Stationary Engineer,11775.0,RENT,Dec-2014,Current,,11.0,1.0,debt_consolidation, 36 months,953xx,,,37761759
189,NY,35000.0,Individual,25.99,,3 years,Corporate Representative,10000.0,RENT,Dec-2014,Fully Paid,,11.0,0.0,debt_consolidation, 36 months,114xx,,,37611902
190,NY,23000.0,Individual,10.91,,4 years,Habilitation Instructor,8250.0,RENT,Dec-2014,Charged Off,,2.0,0.0,debt_consolidation, 36 months,109xx,,,37761762
191,AZ,34000.0,Individual,31.25,,< 1 year,Verification Specialist,4200.0,RENT,Dec-2014,Fully Paid,,17.0,0.0,other, 36 months,850xx,,,37611953
192,FL,33000.0,Individual,11.78,,10+ years,DME Tech,13825.0,MORTGAGE,Dec-2014,Charged Off,,11.0,0.0,debt_consolidation, 60 months,322xx,,,37681800
193,TX,55000.0,Individual,16.23,,4 years,DBA,16000.0,RENT,Dec-2014,Current,,9.0,0.0,medical, 60 months,750xx,,,37781880
194,TX,90000.0,Individual,26.25,,10+ years,mfg analyst,20000.0,OWN,Dec-2014,Current,,11.0,0.0,other, 36 months,770xx,,,37721789
195,OR,56000.0,Individual,10.33,,2 years,System Analyst,23475.0,MORTGAGE,Dec-2014,Fully Paid,,12.0,0.0,debt_consolidation, 36 months,972xx,,,37810302
196,TX,70000.0,Individual,19.37,,1 year,Senior Field Service Technician,10000.0,MORTGAGE,Dec-2014,Fully Paid,,9.0,0.0,debt_consolidation, 36 months,782xx,,,37751868
197,CA,32000.0,Individual,19.17,,< 1 year,Branch service specialist ,2000.0,RENT,Dec-2014,Fully Paid,,10.0,0.0,medical, 36 months,939xx,,,37741749
198,VA,115000.0,Individual,16.63,,3 years,Vice President of Video Services,28000.0,MORTGAGE,Dec-2014,Fully Paid,,8.0,0.0,credit_card, 36 months,223xx,,,37841668
199,TX,24000.0,Individual,29.05,,,,3375.0,RENT,Dec-2014,Charged Off,,12.0,1.0,debt_consolidation, 36 months,783xx,,,37791772
200,TX,34652.0,Individual,20.47,,1 year,machine shop,5000.0,MORTGAGE,Dec-2014,Fully Paid,,14.0,0.0,home_improvement, 36 months,761xx,,,37701767
201,CO,65550.0,Individual,25.15,,2 years,accounting/budget analyst,8000.0,RENT,Dec-2014,Current,,10.0,0.0,credit_card, 36 months,803xx,,,37691855
202,IN,50000.0,Individual,33.77,,,,10000.0,MORTGAGE,Dec-2014,Charged Off,,13.0,0.0,debt_consolidation, 60 months,462xx,,,37691828
203,NY,43000.0,Individual,18.65,,9 years,Maintenance Worker,5000.0,OWN,Dec-2014,Fully Paid,,12.0,0.0,home_improvement, 36 months,100xx,,,37821783
204,NM,102000.0,Individual,24.49,,10+ years,Engineer,35000.0,MORTGAGE,Dec-2014,Charged Off,,12.0,2.0,debt_consolidation, 60 months,871xx,,,37711779
205,CA,40000.0,Individual,24.81,,10+ years,technician,11850.0,OWN,Dec-2014,Charged Off,,5.0,0.0,debt_consolidation, 36 months,908xx,,,37611956
206,MN,63984.0,Individual,27.36,,4 years,Project Manager,3525.0,MORTGAGE,Dec-2014,Fully Paid,,7.0,1.0,debt_consolidation, 36 months,563xx,,,37791739
207,AR,61000.0,Individual,12.98,,< 1 year,Application Engineer,12000.0,RENT,Dec-2014,Current,,21.0,0.0,debt_consolidation, 36 months,721xx,,,37751688
208,CA,92500.0,Individual,8.65,,4 years,Broker,8500.0,RENT,Dec-2014,Current,,14.0,2.0,medical, 36 months,927xx,,,37811886
209,TN,40000.0,Individual,20.98,,9 years,Store manager,8325.0,RENT,Dec-2014,Fully Paid,,4.0,0.0,debt_consolidation, 36 months,370xx,,,37631791
210,NJ,140000.0,Individual,10.71,,1 year,Senior Director,9500.0,MORTGAGE,Dec-2014,Current,,11.0,0.0,debt_consolidation, 36 months,070xx,,,37791796
211,CA,83000.0,Individual,3.61,,10+ years,3d artist,6000.0,RENT,Dec-2014,Current,,5.0,0.0,credit_card, 36 months,920xx,,,37611950
212,TX,160000.0,Individual,6.32,,4 years,Lead Applications,35000.0,RENT,Dec-2014,Fully Paid,,9.0,0.0,debt_consolidation, 36 months,770xx,,,37811869
213,KY,60000.0,Individual,24.52,,2 years,Director of Institutional Effectiveness,20000.0,MORTGAGE,Dec-2014,Current,,20.0,0.0,debt_consolidation, 60 months,402xx,,,37660990
214,CA,125000.0,Individual,11.83,,4 years,Owner/Attorney,21000.0,MORTGAGE,Dec-2014,Current,,14.0,0.0,debt_consolidation, 36 months,920xx,,,37611594
215,OK,58000.0,Individual,10.76,,9 years,Supply tech ,9000.0,MORTGAGE,Dec-2014,Fully Paid,,9.0,0.0,debt_consolidation, 36 months,735xx,,,37831775
216,CA,75000.0,Individual,3.12,,2 years,Project Engieer,7000.0,OWN,Dec-2014,Fully Paid,,7.0,0.0,home_improvement, 36 months,902xx,,,37631833
217,OK,80000.0,Individual,16.77,,10+ years,Manager,24000.0,RENT,Dec-2014,Charged Off,,9.0,1.0,debt_consolidation, 36 months,730xx,,,37801825
218,AZ,75000.0,Individual,13.57,,10+ years,Pastor,15000.0,MORTGAGE,Dec-2014,Fully Paid,,9.0,0.0,debt_consolidation, 36 months,853xx,,,37731794
219,LA,80000.0,Individual,15.14,,2 years,Improvement Engineer,7000.0,RENT,Dec-2014,Fully Paid,,16.0,1.0,debt_consolidation, 36 months,707xx,,,37741729
220,CA,47200.0,Individual,15.56,,5 years,Legal Secretary,3750.0,RENT,Dec-2014,Fully Paid,,15.0,2.0,debt_consolidation, 36 months,919xx,,,37611938
221,NV,45000.0,Individual,30.67,,5 years,Teacher,12000.0,RENT,Dec-2014,Current,,16.0,0.0,debt_consolidation, 60 months,891xx,,,37831802
222,NJ,82000.0,Individual,33.63,,3 years,Attorney - Court Executive,35000.0,MORTGAGE,Dec-2014,Fully Paid,,15.0,0.0,debt_consolidation, 60 months,086xx,,,37781916
223,MI,65000.0,Individual,25.85,,10+ years,Corrections Transportation Officer,20000.0,RENT,Dec-2014,Current,,13.0,0.0,debt_consolidation, 60 months,497xx,,,37601891
224,WA,65000.0,Individual,24.45,,< 1 year,Accounting/Retail,18450.0,MORTGAGE,Dec-2014,Current,,6.0,0.0,credit_card, 60 months,980xx,,,37267850
225,PA,82000.0,Individual,12.81,,3 years,Consultant,13500.0,MORTGAGE,Dec-2014,Fully Paid,,7.0,0.0,credit_card, 36 months,191xx,,,37641760
226,WA,24000.0,Individual,33.7,,3 years,resident Manager,3075.0,MORTGAGE,Dec-2014,Fully Paid,,8.0,1.0,debt_consolidation, 36 months,988xx,,,37701777
227,GA,29440.0,Individual,14.47,,3 years,Diamond specialist,10000.0,MORTGAGE,Dec-2014,Current,,8.0,0.0,debt_consolidation, 60 months,300xx,,,37701779
228,LA,20000.0,Individual,14.71,,< 1 year,Bartender,7175.0,OWN,Dec-2014,Charged Off,,9.0,0.0,debt_consolidation, 36 months,708xx,,,37721827
229,IL,70000.0,Individual,13.24,,10+ years,Gate Inspector,27975.0,OWN,Dec-2014,Fully Paid,,11.0,0.0,other, 60 months,606xx,,,37630954
230,MA,62000.0,Individual,5.18,,4 years,Server,12000.0,RENT,Dec-2014,Fully Paid,,5.0,0.0,credit_card, 36 months,019xx,,,37831821
231,NJ,70000.0,Individual,21.19,,5 years,tractor trailer driver,20000.0,MORTGAGE,Dec-2014,Fully Paid,,9.0,1.0,home_improvement, 36 months,070xx,,,37821792
232,NY,96000.0,Individual,14.28,,10+ years,Director of Financial Aid,18000.0,RENT,Dec-2014,Fully Paid,,17.0,0.0,debt_consolidation, 36 months,113xx,,,37741543
233,NC,45500.0,Individual,25.96,,1 year,Analyst,10000.0,MORTGAGE,Dec-2014,Fully Paid,,19.0,0.0,credit_card, 36 months,276xx,,,37741751
234,CA,145000.0,Individual,1.85,,5 years,Property Manager,20000.0,MORTGAGE,Dec-2014,Fully Paid,,12.0,0.0,home_improvement, 60 months,912xx,,,37711792
235,NY,78000.0,Individual,17.65,,10+ years,Advisory Data Engineer,24000.0,MORTGAGE,Dec-2014,Fully Paid,,7.0,0.0,debt_consolidation, 36 months,123xx,,,36421136
236,NY,40000.0,Individual,25.35,,10+ years,Assistant Manager,6400.0,RENT,Dec-2014,Current,,15.0,0.0,other, 36 months,104xx,,,37671760
237,TX,101000.0,Individual,22.9,,8 years,"Exec. Director-Inst. Rsch, Planning, & ",25000.0,MORTGAGE,Dec-2014,Fully Paid,,29.0,0.0,debt_consolidation, 60 months,785xx,,,37661707
238,GA,65000.0,Individual,17.6,,10+ years,Carrier,2000.0,MORTGAGE,Dec-2014,Current,,7.0,0.0,major_purchase, 36 months,310xx,,,37691807
239,VA,117000.0,Individual,10.96,,10+ years,Policy Analyst,22000.0,RENT,Dec-2014,Fully Paid,,11.0,1.0,debt_consolidation, 60 months,201xx,,,37751847
240,OH,160000.0,Individual,30.07,,10+ years,Air Traffic Controller,35000.0,MORTGAGE,Dec-2014,Fully Paid,,26.0,0.0,credit_card, 36 months,440xx,,,37631787
241,TX,67650.0,Individual,16.5,,10+ years,Bursar,23000.0,MORTGAGE,Dec-2014,Fully Paid,,10.0,0.0,debt_consolidation, 60 months,780xx,,,36039943
242,TX,40000.0,Individual,17.83,,1 year,Warehouse Specialist,10000.0,RENT,Dec-2014,Fully Paid,,14.0,0.0,other, 36 months,760xx,,,37831763
243,CO,120000.0,Individual,26.95,,10+ years,Project Manager,31000.0,RENT,Dec-2014,Charged Off,,11.0,0.0,debt_consolidation, 60 months,800xx,,,37601834
244,CA,130000.0,Individual,13.46,,7 years,Finance Director,22500.0,MORTGAGE,Dec-2014,Fully Paid,,17.0,0.0,home_improvement, 36 months,906xx,,,37821666
245,CA,50000.0,Individual,21.97,,< 1 year,Relationship Banker ,4000.0,RENT,Dec-2014,Fully Paid,,13.0,0.0,debt_consolidation, 36 months,946xx,,,21149906
246,VT,42000.0,Individual,29.37,,,,2000.0,OWN,Dec-2014,Fully Paid,,9.0,0.0,other, 36 months,057xx,,,37731677
247,FL,45000.0,Individual,14.53,,10+ years,Teacher,3000.0,OWN,Dec-2014,Fully Paid,,12.0,0.0,credit_card, 36 months,331xx,,,37781367
248,GA,94000.0,Individual,24.63,,2 years,Business Analyst,19200.0,RENT,Dec-2014,Fully Paid,,19.0,1.0,debt_consolidation, 36 months,303xx,,,37611805
249,LA,50000.0,Individual,38.74,,4 years,mate,16950.0,RENT,Dec-2014,Fully Paid,,11.0,0.0,debt_consolidation, 60 months,700xx,,,37781802
250,CA,80000.0,Individual,6.14,,5 years,office manager,13425.0,MORTGAGE,Dec-2014,Current,,15.0,0.0,debt_consolidation, 60 months,935xx,,,37701740
251,CT,93000.0,Individual,16.49,,10+ years,Purchasing Manager,6000.0,MORTGAGE,Dec-2014,Fully Paid,,10.0,0.0,other, 36 months,069xx,,,37841694
252,GA,60000.0,Individual,17.2,,7 years,Cad Operator ,2000.0,MORTGAGE,Dec-2014,Fully Paid,,8.0,0.0,debt_consolidation, 36 months,300xx,,,37661655
253,MA,57000.0,Individual,15.37,,10+ years,dairy clerk,26150.0,MORTGAGE,Dec-2014,Fully Paid,,10.0,0.0,debt_consolidation, 60 months,020xx,,,37801612
254,DC,66000.0,Individual,21.74,,4 years,School Counselor,2500.0,RENT,Dec-2014,Fully Paid,,12.0,0.0,medical, 36 months,200xx,,,37701724
255,OH,60000.0,Individual,5.74,,10+ years,IA,12000.0,MORTGAGE,Dec-2014,Fully Paid,,4.0,0.0,credit_card, 60 months,450xx,,,33341779
256,NY,65000.0,Individual,24.8,,10+ years,Engineering Technician,23925.0,MORTGAGE,Dec-2014,Current,,10.0,0.0,debt_consolidation, 60 months,125xx,,,35823892
257,TX,58000.0,Individual,23.17,,10+ years,LOGISTICS,5500.0,MORTGAGE,Dec-2014,Fully Paid,,7.0,0.0,debt_consolidation, 36 months,752xx,,,37601820
258,GA,47000.0,Individual,4.16,,4 years,Helpdesk Supervisor,9600.0,RENT,Dec-2014,Fully Paid,,4.0,0.0,credit_card, 36 months,300xx,,,37601819
259,NJ,80000.0,Individual,11.57,,3 years,Police Officer,12000.0,MORTGAGE,Dec-2014,Fully Paid,,8.0,0.0,debt_consolidation, 36 months,070xx,,,37771756
260,CA,64000.0,Individual,13.73,,10+ years,store manager,15000.0,OWN,Dec-2014,Current,,14.0,0.0,debt_consolidation, 60 months,913xx,,,37630961
261,NJ,60000.0,Individual,25.0,,10+ years,Superintendent ,13225.0,OWN,Dec-2014,Charged Off,,7.0,0.0,debt_consolidation, 60 months,089xx,,,37801349
262,CT,120000.0,Individual,1.42,,10+ years,Senior Inspector,27000.0,OWN,Dec-2014,Current,,14.0,0.0,home_improvement, 60 months,067xx,,,37820667
263,RI,66000.0,Individual,26.49,,10+ years,Accounting Office Manager,6000.0,MORTGAGE,Dec-2014,Fully Paid,,9.0,0.0,debt_consolidation, 36 months,028xx,,,37811804
264,NY,148000.0,Individual,5.12,,7 years,General Manager,35000.0,OWN,Dec-2014,Fully Paid,,6.0,0.0,debt_consolidation, 36 months,140xx,,,37811787
265,WA,46000.0,Individual,26.77,,3 years,Shift Manager,15000.0,RENT,Dec-2014,Charged Off,,6.0,2.0,credit_card, 36 months,984xx,,,37791691
266,CA,68200.0,Individual,17.75,,7 years,Office Administrator,12000.0,RENT,Dec-2014,Fully Paid,,8.0,0.0,other, 36 months,944xx,,,37751794
267,FL,90000.0,Individual,14.8,,9 years,sales ,10000.0,MORTGAGE,Dec-2014,Current,,11.0,0.0,credit_card, 60 months,331xx,,,37801815
268,KS,51000.0,Individual,12.75,,< 1 year,Machinist,12800.0,MORTGAGE,Dec-2014,Fully Paid,,5.0,1.0,debt_consolidation, 36 months,660xx,,,37650565
269,NY,130000.0,Individual,24.78,,< 1 year,Senior Consultant,34000.0,MORTGAGE,Dec-2014,Fully Paid,,25.0,0.0,credit_card, 36 months,114xx,,,31396726
270,NC,125000.0,Individual,11.55,,10+ years,Advanced Field Sales Rep,4000.0,RENT,Dec-2014,Fully Paid,,5.0,0.0,other, 36 months,282xx,,,37821702
271,CA,45000.0,Individual,17.07,,5 years,sales,13475.0,RENT,Dec-2014,Charged Off,,20.0,0.0,debt_consolidation, 36 months,921xx,,,37751815
272,WA,47207.0,Individual,27.13,,3 years,Middle School Teacher,14000.0,MORTGAGE,Dec-2014,Fully Paid,,21.0,0.0,debt_consolidation, 36 months,993xx,,,37831666
273,PA,60000.0,Individual,9.56,,< 1 year,Teacher,2600.0,OWN,Dec-2014,Fully Paid,,12.0,0.0,credit_card, 36 months,191xx,,,37811463
274,CA,55664.0,Individual,12.46,,10+ years,Faculty,23325.0,OWN,Dec-2014,Fully Paid,,14.0,0.0,home_improvement, 60 months,900xx,,,37711705
275,VA,40000.0,Individual,25.17,,5 years,Server,11500.0,RENT,Dec-2014,Fully Paid,,7.0,0.0,debt_consolidation, 36 months,220xx,,,37621731
276,IN,60000.0,Individual,27.76,,9 years,RDH,20000.0,RENT,Dec-2014,Fully Paid,,25.0,0.0,credit_card, 36 months,466xx,,,37761717
277,WA,26880.0,Individual,22.59,,< 1 year,Branch Office Administrator,7675.0,RENT,Dec-2014,Charged Off,,4.0,0.0,debt_consolidation, 36 months,983xx,,,37681700
278,TX,20000.0,Individual,6.78,,1 year,Catering driver,7000.0,RENT,Dec-2014,Fully Paid,,3.0,0.0,car, 36 months,752xx,,,37691744
279,CA,75000.0,Individual,23.05,,9 years,Owner/Principlal,25000.0,MORTGAGE,Dec-2014,Fully Paid,,17.0,0.0,debt_consolidation, 60 months,926xx,,,37711739
280,CA,50000.0,Individual,37.25,,6 years,CEO,9000.0,RENT,Dec-2014,Fully Paid,,7.0,2.0,small_business, 36 months,902xx,,,37781808
281,MI,44000.0,Individual,30.03,,8 years,Office Manager,10000.0,MORTGAGE,Dec-2014,Current,,12.0,1.0,debt_consolidation, 36 months,494xx,,,37751780
282,CA,75132.0,Individual,6.01,,8 years,E-6,7500.0,RENT,Dec-2014,Fully Paid,,6.0,0.0,moving, 36 months,921xx,,,37701695
283,NY,38000.0,Individual,8.39,,1 year,Behavioral Heath Associate,6000.0,RENT,Dec-2014,Fully Paid,,8.0,0.0,debt_consolidation, 36 months,112xx,,,37821675
284,SC,28500.0,Individual,7.12,,2 years,Marketing and Sales Manager,4800.0,OWN,Dec-2014,Fully Paid,,2.0,0.0,debt_consolidation, 36 months,294xx,,,37771728
285,PA,80000.0,Individual,25.46,,3 years,Business Development,20000.0,RENT,Dec-2014,Fully Paid,,13.0,2.0,credit_card, 60 months,190xx,,,37671710
286,TX,91000.0,Individual,10.02,,< 1 year,Superintendent,12000.0,RENT,Dec-2014,Current,,9.0,0.0,debt_consolidation, 60 months,761xx,,,37741668
287,IL,39500.0,Individual,14.71,,1 year,Content Producer,3500.0,RENT,Dec-2014,Fully Paid,,13.0,0.0,vacation, 36 months,606xx,,,37741676
288,LA,26000.0,Individual,13.43,,5 years,Research Assistant,2000.0,RENT,Dec-2014,Fully Paid,,13.0,0.0,other, 36 months,708xx,,,37771735
289,TX,47500.0,Individual,39.21,,8 years,Senior Pastor,16150.0,OWN,Dec-2014,Fully Paid,,9.0,0.0,debt_consolidation, 36 months,756xx,,,37811728
290,NJ,98000.0,Individual,11.56,,3 years,Operations,10000.0,RENT,Dec-2014,Fully Paid,,5.0,0.0,debt_consolidation, 36 months,074xx,,,37610762
291,MI,21600.0,Individual,18.78,,2 years,Parapro,2000.0,OWN,Dec-2014,Fully Paid,,15.0,0.0,debt_consolidation, 36 months,481xx,,,37711575
292,IN,67000.0,Individual,12.93,,3 years,Supply Chain Analyst,19000.0,MORTGAGE,Dec-2014,Fully Paid,,19.0,0.0,debt_consolidation, 36 months,463xx,,,11335677
293,NC,32500.0,Individual,30.95,,10+ years,SERVICE TECH,11675.0,RENT,Dec-2014,Current,,17.0,0.0,debt_consolidation, 36 months,282xx,,,37791711
294,NC,23000.0,Individual,8.82,,3 years,Housekeeper,6000.0,RENT,Dec-2014,Fully Paid,,8.0,1.0,credit_card, 36 months,282xx,,,37611597
295,FL,64000.0,Individual,15.09,,4 years,Compliance Officer,16000.0,MORTGAGE,Dec-2014,Fully Paid,,20.0,0.0,credit_card, 60 months,333xx,,,37811578
296,CA,60000.0,Individual,10.26,,7 years,patient care tech,2650.0,OWN,Dec-2014,Current,,19.0,0.0,credit_card, 36 months,939xx,,,36733172
297,MO,50000.0,Individual,16.95,,3 years,Parts Specialist,13000.0,MORTGAGE,Dec-2014,Current,,14.0,0.0,other, 60 months,654xx,,,37791710
298,SC,200000.0,Individual,21.39,,10+ years,Vice President,15000.0,MORTGAGE,Dec-2014,Current,,7.0,0.0,debt_consolidation, 36 months,297xx,,,37651670
299,NV,40000.0,Individual,12.45,,7 years,Office Manager,4000.0,OWN,Dec-2014,Fully Paid,,7.0,1.0,home_improvement, 36 months,891xx,,,37841659
300,NY,75000.0,Individual,5.87,,4 years,RN Supervisor,12000.0,RENT,Dec-2014,Fully Paid,,7.0,0.0,credit_card, 36 months,113xx,,,37681714
301,AL,60000.0,Individual,28.58,,4 years,Pilot,3000.0,RENT,Dec-2014,Fully Paid,,12.0,0.0,vacation, 36 months,363xx,,,37751822
302,IL,65000.0,Individual,27.88,,8 years,semi driver,20000.0,MORTGAGE,Dec-2014,Charged Off,,12.0,1.0,credit_card, 36 months,627xx,,,37621715
303,LA,59000.0,Individual,13.73,,7 years,Claims Manager,10000.0,RENT,Dec-2014,Fully Paid,,9.0,0.0,debt_consolidation, 60 months,705xx,,,37711374
304,TX,580000.0,Individual,2.12,,8 years,Realtor,15000.0,MORTGAGE,Dec-2014,Fully Paid,,7.0,0.0,home_improvement, 36 months,787xx,,,37821698
305,TX,50000.0,Individual,18.19,,3 years,Managing Partner,20000.0,MORTGAGE,Dec-2014,Fully Paid,,4.0,1.0,debt_consolidation, 60 months,782xx,,,37841687
306,FL,65000.0,Individual,29.86,,2 years,Legal Assistant,2000.0,MORTGAGE,Dec-2014,Fully Paid,,10.0,0.0,credit_card, 36 months,327xx,,,37731698
307,IL,90000.0,Individual,13.83,,5 years,account executive,35000.0,RENT,Dec-2014,Charged Off,,10.0,0.0,debt_consolidation, 60 months,607xx,,,37761751
308,IN,35000.0,Individual,22.94,,2 years,Administrative Assistant,7000.0,RENT,Dec-2014,Fully Paid,,6.0,2.0,home_improvement, 36 months,463xx,,,37641687
309,TN,55000.0,Individual,18.63,,8 years,Teacher,5000.0,MORTGAGE,Dec-2014,Current,,11.0,0.0,debt_consolidation, 36 months,373xx,,,37601791
310,FL,67000.0,Individual,37.54,,10+ years,Certified School Counselor,19425.0,MORTGAGE,Dec-2014,Fully Paid,,20.0,0.0,debt_consolidation, 36 months,321xx,,,37821701
311,FL,58000.0,Individual,34.93,,3 years,cook,18450.0,MORTGAGE,Dec-2014,Fully Paid,,19.0,0.0,credit_card, 60 months,330xx,,,37741195
312,AZ,203000.0,Individual,19.61,,10+ years,Executive Director,20000.0,RENT,Dec-2014,Fully Paid,,10.0,0.0,credit_card, 36 months,850xx,,,37711652
313,LA,90226.0,Individual,29.82,,10+ years,Financial Manager,11200.0,MORTGAGE,Dec-2014,Fully Paid,,15.0,0.0,debt_consolidation, 36 months,710xx,,,37690495
314,MI,38550.0,Individual,25.64,,1 year,Facility Coordinator,12000.0,OWN,Dec-2014,Charged Off,,9.0,0.0,credit_card, 60 months,481xx,,,37661596
315,AL,48000.0,Individual,10.65,,10+ years,Admin Asst,3500.0,MORTGAGE,Dec-2014,Fully Paid,,16.0,0.0,car, 36 months,361xx,,,37751726
316,WA,60000.0,Individual,13.24,,10+ years,Permanent AB,22000.0,MORTGAGE,Dec-2014,Fully Paid,,5.0,0.0,credit_card, 36 months,994xx,,,37781726
317,WA,35000.0,Individual,7.82,,< 1 year,Personal Banker,12000.0,RENT,Dec-2014,Fully Paid,,4.0,0.0,credit_card, 36 months,980xx,,,37731640
318,GA,70000.0,Individual,20.09,,3 years,Sr. Director of Recruiting ,15400.0,RENT,Dec-2014,Fully Paid,,8.0,0.0,credit_card, 60 months,305xx,,,37691114
319,IL,90000.0,Individual,13.09,,10+ years,Business consultant trainer,13000.0,RENT,Dec-2014,Current,,8.0,0.0,debt_consolidation, 36 months,600xx,,,37681655
320,MN,30000.0,Individual,35.52,,2 years,owner/operator,3000.0,RENT,Dec-2014,Fully Paid,,14.0,0.0,small_business, 36 months,560xx,,,37731642
321,FL,44000.0,Individual,29.35,,5 years,Office Manager,6500.0,RENT,Dec-2014,Fully Paid,,10.0,0.0,debt_consolidation, 36 months,331xx,,,37621640
322,NC,19164.0,Individual,9.97,,,,6725.0,MORTGAGE,Dec-2014,Fully Paid,,9.0,0.0,debt_consolidation, 36 months,281xx,,,37631470
323,CT,69500.0,Individual,13.66,,10+ years,Project Manager,6400.0,MORTGAGE,Dec-2014,Fully Paid,,23.0,0.0,debt_consolidation, 36 months,060xx,,,37077809
324,CA,84000.0,Individual,27.76,,10+ years,Teacher,5000.0,RENT,Dec-2014,Fully Paid,,19.0,0.0,credit_card, 36 months,925xx,,,37601725
